wavelength spec_bulge1 spec_bulge2 spec_bulge3 spec_bulge4 spec_disk spec_clump1 spec_clump2 spec_clump3
2990.0 3.3528748823702206e-06 2.154575487158871e-05 1.2449314876825269e-05 1.9652752985259744e-05 2.453727633912575e-05 0.00014136477226381304 0.00012828687563496655 0.0003153091280080972
3010.0 3.5518784439559822e-06 2.2405320274996265e-05 1.2978599359318055e-05 2.0307652802642536e-05 2.4954718904907435e-05 0.0001427242656091838 0.00012928714391905244 0.00031712096997359076
3030.0 3.6849267376986306e-06 2.2683755782169436e-05 1.3184341259775266e-05 2.0554143222032334e-05 2.5237297730626258e-05 0.00014329577108223817 0.00012968191882911683 0.00031796381747381915
3050.0 3.901805565301036e-06 2.3292101227387827e-05 1.3596953396183864e-05 2.1050751188863917e-05 2.554539658262913e-05 0.00014378427619150014 0.0001298989794630746 0.0003183197283990637
3070.0 4.147420600934516e-06 2.428799256985216e-05 1.4217706585228857e-05 2.166519387323839e-05 2.584622028963859e-05 0.00014402432885801103 0.00013006574302603088 0.0003187897308404197
3090.0 4.224483022064103e-06 2.5107733361254057e-05 1.466610819148949e-05 2.2102078524911904e-05 2.6201890351940414e-05 0.00014501923337451131 0.0001308148411060393 0.000320277067341406
3110.0 4.639068107520842e-06 2.5458661082035538e-05 1.5048864594612227e-05 2.2727083180956227e-05 2.6484006637129552e-05 0.00014530035901923031 0.00013090518237857896 0.0003204496537250981
3130.0 4.479703474520227e-06 2.529306054531377e-05 1.4886382009749066e-05 2.246883271543173e-05 2.649376178642575e-05 0.0001452012104811333 0.0001308475649055687 0.000320523902086493
3150.0 4.481737120494137e-06 2.6173508331105536e-05 1.5327622725623597e-05 2.2744328207131812e-05 2.6842584536628856e-05 0.00014602367323979953 0.000131519556835106 0.00032218958523273105
3170.0 4.887235433578946e-06 2.6828988291467524e-05 1.5858111862348116e-05 2.351287746167875e-05 2.727071048341283e-05 0.00014688734445689883 0.0001320167217289767 0.00032300098210994273
3190.0 4.337513886416904e-06 2.496957952076929e-05 1.4653546703425935e-05 2.2116505815136e-05 2.677496606828006e-05 0.00014550085063586764 0.0001311013482767909 0.0003218094863311723
3210.0 4.912921699006546e-06 2.6900248889722773e-05 1.5906585294188756e-05 2.367924903772555e-05 2.7679925538814088e-05 0.00014822187428952446 0.0001331287828657471 0.0003261147974340006
3230.0 4.199166856236024e-06 2.513171262002051e-05 1.4665439737954975e-05 2.203593757673436e-05 2.725224579854569e-05 0.0001473558141547873 0.00013271044608244198 0.0003259048785561794
3250.0 5.627812897217198e-06 2.8420727735759277e-05 1.7024270316309516e-05 2.5077242636479224e-05 2.8572563081869045e-05 0.00015006798697474134 0.00013426865963778233 0.0003281792920578698
3270.0 6.517559617689838e-06 3.065160338919356e-05 1.8584581503257978e-05 2.705586913346701e-05 2.9538345114427268e-05 0.0001522156672193885 0.00013562279042354284 0.00033052386665536097
3290.0 6.440773856198992e-06 3.08578333019728e-05 1.8649303578897877e-05 2.7023249603599374e-05 2.9788936412425703e-05 0.00015293662512995933 0.00013625017997196594 0.00033229684655043223
3310.0 6.341226667573834e-06 3.140852130677135e-05 1.8874873986978552e-05 2.7154615784146077e-05 3.003547347972638e-05 0.00015385488122390644 0.00013707310256295748 0.0003345826422324938
3330.0 6.522934509666061e-06 3.154597200196027e-05 1.9034453255621615e-05 2.7446635545803072e-05 3.026459264937478e-05 0.0001543690848388992 0.0001375164378924423 0.00033587764253863097
3350.0 6.4442979698163975e-06 3.13918445129016e-05 1.891807124116713e-05 2.7308662206712273e-05 3.0308086996270988e-05 0.00015456131037409565 0.00013777911148298648 0.0003370451087310559
3370.0 5.28448045277007e-06 2.973131932111765e-05 1.7507899886748858e-05 2.5243638816423363e-05 2.975909721904713e-05 0.00015395141788603303 0.0001378524438036169 0.00033875872675412735
3390.0 5.9352180730808164e-06 3.089045842154053e-05 1.841283824711477e-05 2.654254143150662e-05 3.045054061640737e-05 0.00015568397104271845 0.00013898675658347495 0.00034099446188634705
3410.0 6.111176294305849e-06 3.1527565596425575e-05 1.8819370945166125e-05 2.7050383281283038e-05 3.1024972296023594e-05 0.00015750499421462476 0.00014035987104398727 0.0003441197296595282
3430.0 6.390259716920547e-06 3.24095502200793e-05 1.9399904968296486e-05 2.7673020261576577e-05 3.158736291053801e-05 0.0001585047941079944 0.00014087693380173658 0.0003446914994289342
3450.0 6.789703569514684e-06 3.3232085538598865e-05 2.001089455385398e-05 2.841678620735126e-05 3.1775986119448915e-05 0.00015778583996216346 0.00013982027555113497 0.000340783200482919
3470.0 7.011680238910099e-06 3.3568980594228146e-05 2.0290330416366116e-05 2.8828121182827017e-05 3.216765975658076e-05 0.0001588521414805068 0.0001406860127084203 0.00034314896934789057
3490.0 7.702607942783289e-06 3.497694009433063e-05 2.1339774018353047e-05 3.0274935422816505e-05 3.295702244945094e-05 0.00016064621687360585 0.00014197920380122606 0.00034603153055323617
3510.0 8.182158525496799e-06 3.644703568401339e-05 2.23145971045446e-05 3.1433247643097376e-05 3.3746774396585145e-05 0.00016267784683294674 0.00014345665052902727 0.00034922060661325113
3530.0 7.5901659959906366e-06 3.544932510947378e-05 2.1519745552518676e-05 3.032687863218295e-05 3.357072017366375e-05 0.00016293655546249487 0.00014396301739016596 0.00035148628668473365
3550.0 8.742403024085146e-06 3.8043955704748685e-05 2.3393179364200753e-05 3.285740740818286e-05 3.4805690795737964e-05 0.00016572605293526486 0.00014577788693125252 0.0003548994348732611
3570.0 6.712965505414795e-06 3.388356074229475e-05 2.0298263123641102e-05 2.8786813076346372e-05 3.3415330219459895e-05 0.0001639414381971683 0.0001452308732978074 0.00035623333780143354
3590.0 6.788424475266573e-06 3.434782145490675e-05 2.0568122964870986e-05 2.9033527402732934e-05 3.373754591001806e-05 0.00016488130683293435 0.0001461220646480219 0.0003587469178930848
3601.8274 9.272350505499635e-06 4.0975115153171395e-05 2.5123732829065683e-05 3.45620396082016e-05 3.652580147787139e-05 0.0001624999133136615 0.00014598620832484335 0.00035824015869362997
3602.7275 9.099100059430561e-06 4.058647389007905e-05 2.4842786974487994e-05 3.4198623259277555e-05 3.6328418277875466e-05 0.00016276201338909753 0.00014598550859433435 0.00035840768830324506
3603.6279 8.865529498545843e-06 4.007949784664717e-05 2.4472513672334315e-05 3.371591954118491e-05 3.602291777062909e-05 0.00016434354114409206 0.00014625809858155142 0.0003592943399929214
3604.528 8.57152515705745e-06 3.9467947283528494e-05 2.4019736220037308e-05 3.3119254614742145e-05 3.5620788830144794e-05 0.00016591307216165313 0.00014655123247145571 0.00036007139546501593
3605.4282 8.2403447927724e-06 3.8814528747916746e-05 2.352743677009704e-05 3.2461236315932094e-05 3.5228107411972195e-05 0.00016603085820056452 0.00014655025907757928 0.00036007557921168725
3606.3286 7.919470002498743e-06 3.821657381799955e-05 2.306802191001005e-05 3.18371266417878e-05 3.496345599854251e-05 0.0001663646323421639 0.0001467109436870338 0.0003603159536545966
3607.2287 7.655967831059651e-06 3.7741217563471284e-05 2.2698592697033324e-05 3.1329884781564344e-05 3.48090618206879e-05 0.0001668504117610088 0.00014694810766075126 0.00036072343429374574
3608.1291 7.469763881288646e-06 3.738172194008702e-05 2.2425742910460027e-05 3.096103686602125e-05 3.4670208666199735e-05 0.0001667391549453891 0.00014689478758533574 0.0003608098551275393
3609.0292 7.359355678950962e-06 3.70989680649435e-05 2.2229161871721193e-05 3.071378920190194e-05 3.450765877003798e-05 0.00016592934038007814 0.00014648795519515853 0.00036051001685059224
3609.9293 7.321315278317055e-06 3.688136232566874e-05 2.2101338801766766e-05 3.0579662210134445e-05 3.436528832900699e-05 0.00016486081027780285 0.00014602478970910816 0.0003600913403005516
3610.8297 7.353443157176992e-06 3.675126777614894e-05 2.205235546643572e-05 3.0564498919712436e-05 3.430320208494156e-05 0.00016361745579194394 0.0001456333274002448 0.00035951887837213633
3611.7299 7.455825219752645e-06 3.6757663372937264e-05 2.2106744296115945e-05 3.068726616760278e-05 3.4347320366991855e-05 0.00016281940501503583 0.00014546818779257408 0.0003590768873802193
3612.6302 7.605415004579808e-06 3.690316800978564e-05 2.2254291506951543e-05 3.0921301247531204e-05 3.448034330907117e-05 0.00016271346240899538 0.0001455124932115744 0.00035898092259958105
3613.5304 7.772534807408192e-06 3.716342343786099e-05 2.2467979122400874e-05 3.1222783072098e-05 3.467652461229641e-05 0.0001619915124155446 0.00014527570328325324 0.00035856460327748956
